Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	y_position	label	x_offset	x_pos
HGF	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.5948546731639109	0.12908240682627276	1241.8463422357509	-4.608332675145296	4.477505591082422e-6	2.7272079509320205e-5	7	Anakinra.No	Anakinra.Yes	-0.13406206094782902	0.4607926122160819	0.6607926122160819	***	-0.15	2.85
IL-12B	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.31265445980667483	0.10596181393268503	1199.504322545256	2.9506333291472022	0.0032328174772321243	0.009754046288136085	4	Anakinra.No	Anakinra.Yes	0.1782272353438428	-0.134427224462832	0.37822723534384284	**	-0.15	1.85
IL-12B	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.46561793957720965	0.10527214325671774	1186.2854823826774	4.42299287515928	1.0627671819567046e-5	5.9337834325916004e-5	7	Anakinra.No	Anakinra.Yes	0.10980446841827045	-0.3558134711589392	0.3098044684182705	***	-0.15	2.85
IL10	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.4213041654476216	0.11732027469018569	1192.3242494863239	-3.5910601689280344	3.4273186896745933e-4	0.005740758805204944	1	Anakinra.No	Anakinra.Yes	0.4915073197835483	0.9128114852311698	1.11281148523117	**	-0.15	0.85
IL10	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.5145420625027161	0.12006277698290999	1232.8164355206088	-4.285608541071452	1.964307910643367e-5	1.4623181112567287e-4	4	Anakinra.No	Anakinra.Yes	-0.2541483348773688	0.26039372762534724	0.46039372762534725	***	-0.15	1.85
IL10	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.37270960449067025	0.11925391427021179	1219.9031650660033	-3.1253448305786025	0.0018178837508546102	0.005074925471135787	7	Anakinra.No	Anakinra.Yes	-0.45860147611342844	-0.0858918716227582	0.11410812837724181	**	-0.15	2.85
CCL23	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.35616320348262914	0.12368525464505623	1057.7255959267252	-2.8795930808787418	0.00406215244989687	0.030240468238121144	1	Anakinra.No	Anakinra.Yes	0.3270014144103833	0.6831646178930124	0.8831646178930124	*	-0.15	0.85
CCL23	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.32752253770620643	0.1261932054835596	1100.7201406261008	-2.5954054851937007	0.00957365484576993	0.024642574646209895	4	Anakinra.No	Anakinra.Yes	-0.17425557582176712	0.1532669618844393	0.3532669618844393	*	-0.15	1.85
CCL23	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.2957607182796263	0.1254624182210915	1087.3653390384309	-2.3573650378588504	0.018581586106491504	0.03772625057984639	7	Anakinra.No	Anakinra.Yes	-0.34963738520655135	-0.05387666692692505	0.14612333307307496	*	-0.15	2.85
CD5	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.35985439738607833	0.12330084940582806	1188.7376640038947	2.9185070428968927	0.0035833361061086873	0.009603340764371282	7	Anakinra.No	Anakinra.Yes	0.5382912569476409	0.17843685956156255	0.738291256947641	**	-0.15	2.85
Flt3L	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5945677018376405	0.12302954949734972	1269.6496588953132	4.832722742355881	1.5110309992970542e-6	2.0247815390580526e-5	4	Anakinra.No	Anakinra.Yes	0.3046630770358814	-0.2899046248017591	0.5046630770358814	***	-0.15	1.85
Flt3L	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3392316628499593	0.12217047655580533	1257.237093646125	2.7767073716455895	0.005572786079685768	0.013828765456998017	7	Anakinra.No	Anakinra.Yes	0.5309559787712231	0.19172431592126388	0.7309559787712232	*	-0.15	2.85
