Assay	Day	more_diff	more_p	more_p_adj	more_sig	UniProt	n_no	n_yes	median_no	median_yes	save_diff	save_p	save_p_adj	save_sig_fdr	save_sig_p	same_direction	overlap_fdr	overlap_p
IL6	7	1.0996399700526969	6.139992213957507e-21	4.11379478335153e-19	TRUE	P05231	128	18	1.8388499999999999	4.90075	3.0619000000000005	5.530887158174552e-9	3.650385524395204e-7	TRUE	TRUE	TRUE	TRUE	TRUE
MCP-3	7	0.8995913157167303	1.153959040819202e-13	3.865762786744326e-12	TRUE	P80098	128	18	2.6874000000000002	4.787000000000001	2.0996000000000006	1.1046085298114395e-6	3.6452081483777505e-5	TRUE	TRUE	TRUE	TRUE	TRUE
CXCL10	7	0.6787421053664108	8.840424841392365e-10	1.4807711609332212e-8	TRUE	P02778	121	18	2.5584	4.32885	1.7704500000000003	9.064008938929588e-6	1.9940819665645093e-4	TRUE	TRUE	TRUE	TRUE	TRUE
TRANCE	7	-0.8630314228831191	2.384718846767672e-13	5.325872091114467e-12	TRUE	O14788	128	18	-1.2489	-2.60615	-1.35725	1.3687061019229674e-5	2.2583650681728962e-4	TRUE	TRUE	TRUE	TRUE	TRUE
IL-18R1	7	0.4677930927256476	1.0318723857583654e-4	4.320965615363154e-4	TRUE	Q13478	131	16	0.9735	1.6071499999999999	0.6336499999999998	5.213018817377243e-5	5.827053847646277e-4	TRUE	TRUE	TRUE	TRUE	TRUE
CCL20	7	0.6919892704443367	2.764145967256611e-8	3.0866296634365484e-7	TRUE	P78556	131	16	-0.3533	0.608	0.9613	6.439226380304919e-5	5.827053847646277e-4	TRUE	TRUE	TRUE	TRUE	TRUE
CD5	7	-0.3598543973860784	0.00358333610610868	0.00960334076437128	TRUE	P06127	132	18	1.79785	0.53515	-1.2627	7.006890683092237e-5	5.827053847646277e-4	TRUE	TRUE	TRUE	TRUE	TRUE
OPG	7	0.6219179589153511	3.605090757683366e-8	3.450586868068365e-7	TRUE	O00300	121	18	0.4815	1.2562	0.7746999999999999	7.063095572904578e-5	5.827053847646277e-4	TRUE	TRUE	TRUE	TRUE	TRUE
Flt3L	7	-0.33923166284995926	0.00557278607968576	0.01382876545699801	TRUE	P49771	131	16	-0.349	-1.7515999999999998	-1.4025999999999998	1.3923703519869157e-4	0.0010210715914570714	TRUE	TRUE	TRUE	TRUE	TRUE
CX3CL1	7	0.41455645644366057	0.00130318171291827	0.00396878067116019	TRUE	P78423	128	17	0.84655	1.497	0.6504500000000001	1.7538100137690218e-4	0.0011575146090875544	TRUE	TRUE	TRUE	TRUE	TRUE
CCL4	7	NA	NA	NA	NA	P13236	121	18	1.1157	2.12605	1.0103500000000003	2.456455938630329e-4	0.0014738735631781975	TRUE	TRUE	FALSE	NA	NA
IL8	7	NA	NA	NA	NA	P10145	131	16	1.8206	3.22645	1.4058499999999998	4.260152227926109e-4	0.00234308372535936	TRUE	TRUE	FALSE	NA	NA
CD6	7	-0.4423939377567601	4.241079762690696e-4	0.00149553865315935	TRUE	P30203	131	16	0.3478	-0.91895	-1.26675	0.0011805676856455616	0.00599365132712362	TRUE	TRUE	TRUE	TRUE	TRUE
PD-L1	7	0.6728570680872639	4.2504879894799855e-8	3.559783691189488e-7	TRUE	Q9NZQ7	128	17	1.4655	1.8674	0.4018999999999999	0.0012937021198071309	0.006098881421947903	TRUE	TRUE	TRUE	TRUE	TRUE
CSF-1	7	0.35100699895006965	0.0037821169704844	0.00974622450086364	TRUE	P09603	121	18	0.8305	1.3851499999999999	0.5546499999999999	0.0014383046219696581	0.0063285403366664965	TRUE	TRUE	TRUE	TRUE	TRUE
CXCL9	7	0.6548320553837884	2.307150599056711e-7	1.7175454459644405e-6	TRUE	Q07325	121	18	1.5397	2.25665	0.71695	0.0015851705831090692	0.006538828655324911	TRUE	TRUE	TRUE	TRUE	TRUE
MCP-1	7	0.652124948490546	2.9433324354190264e-7	1.972032731730748e-6	TRUE	P13500	128	17	0.6253500000000001	1.6478	1.0224499999999999	0.0017769337411983543	0.00689868393641714	TRUE	TRUE	TRUE	TRUE	TRUE
IL-12B	7	-0.46561793957720965	1.0627671819567046e-5	5.9337834325916e-5	TRUE	P29460	131	16	-0.7904	-2.2888	-1.4984000000000002	0.003165271768175826	0.01160599648331136	TRUE	TRUE	TRUE	TRUE	TRUE
TWEAK	7	-0.4099048516464401	0.00137956655111538	0.00401873734455349	TRUE	O43508	131	16	-0.0113	-0.653	-0.6417	0.0041000932060937245	0.01424242903169399	TRUE	TRUE	TRUE	TRUE	TRUE
LIF-R	7	NA	NA	NA	NA	P42702	128	18	0.75745	1.1118999999999999	0.35444999999999993	0.004825576826016301	0.015924403525853795	TRUE	TRUE	FALSE	NA	NA
CD8A	7	NA	NA	NA	NA	P01732	128	18	0.96265	-0.0208	-0.98345	0.0082209094636716	0.02583714402868217	TRUE	TRUE	FALSE	NA	NA
CXCL5	7	-0.34898394555757944	0.00674027768855483	0.01612852161189906	TRUE	P42830	127	16	3.049	2.0193	-1.0297	0.012171109062918184	0.035331548569216956	TRUE	TRUE	TRUE	TRUE	TRUE
CCL23	7	0.2957607182796263	0.0185815861064915	0.03772625057984639	TRUE	P55773	121	18	1.8507	2.1540999999999997	0.30339999999999967	0.012312509349878636	0.035331548569216956	TRUE	TRUE	TRUE	TRUE	TRUE
CD40	7	0.2904678007867864	0.0230900178207321	0.04297308872191809	TRUE	P25942	121	18	1.0536	1.41445	0.3608499999999999	0.015861244014287602	0.04361842103929091	TRUE	TRUE	TRUE	TRUE	TRUE
CCL3	7	NA	NA	NA	NA	P10147	128	18	1.53155	1.90415	0.37260000000000004	0.0190147019113698	0.050198813046016276	FALSE	TRUE	FALSE	FALSE	NA
CD244	7	-0.6913521021874659	1.5979119496800168e-8	2.1412020125712225e-7	TRUE	Q9BZW8	131	16	0.5651	0.1945	-0.37060000000000004	0.023009760767038978	0.05840939271632971	FALSE	TRUE	TRUE	FALSE	TRUE
OSM	7	NA	NA	NA	NA	P13725	128	18	2.7782999999999998	3.5013	0.7230000000000003	0.026201353992367952	0.0640477542035661	FALSE	TRUE	FALSE	FALSE	NA
TNFB	7	-0.4845573987712697	5.153807883964273e-5	2.3020341881707085e-4	TRUE	P01374	128	18	0.26655	-0.41315	-0.6797	0.027849003719035537	0.06564408019486948	FALSE	TRUE	TRUE	FALSE	TRUE
TRAIL	7	-0.5492853310589737	1.4022096442005194e-5	7.226772781648832e-5	TRUE	P50591	131	16	0.0672	-0.14730000000000001	-0.21450000000000002	0.03264333539977149	0.07429172884085926	FALSE	TRUE	TRUE	FALSE	TRUE
EN-RAGE	7	0.5225471108815327	4.419132346016997e-5	2.1148704798795628e-4	TRUE	P80511	124	17	1.5865	1.6846	0.09810000000000008	0.09032345639894847	0.19502123128454796	FALSE	FALSE	TRUE	FALSE	FALSE
