Assay	term	contrast	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
MCP-3	Day*srf14	Day4 Yes - Day7 Yes	0	0.13628536284044265	0.08316449141833891	1048.5170224689298	1.6387446194421127	0.10156645882538316	0.21951460455808616
CDCP1	Day*srf14	Day1 No - Day4 No	0	0.4394732242157314	0.04342671651703442	1024.8940142256006	10.119881479948987	5.211085699719339e-23	2.909522849009964e-22
CDCP1	Day*srf14	Day1 No - Day7 No	0	0.3246043833255502	0.04411439298701605	1029.8424597694068	7.358242091670382	3.8019055410236366e-13	6.884531655367126e-13
CDCP1	Day*srf14	Day1 No - Day1 Yes	0	-0.15057876191954073	0.10008492074635357	924.3520036120779	-1.5045099780930467	0.13279170145088998	0.21753943342272258
CDCP1	Day*srf14	Day1 No - Day4 Yes	0	0.3506478701045974	0.10197619683563934	970.220012329004	3.4385266462697754	6.097563911226198e-4	0.001945413247867406
CDCP1	Day*srf14	Day1 No - Day7 Yes	0	0.08689474393424942	0.10170534888862276	963.6060004741535	0.8543773251238498	0.3931083079948382	0.5065049353010416
CDCP1	Day*srf14	Day4 No - Day7 No	0	-0.11486884089018112	0.043672223154585764	1025.8429180544426	-2.630249449028093	0.008660023641923977	0.013814799619259679
CDCP1	Day*srf14	Day4 No - Day1 Yes	0	-0.5900519861352721	0.09993216929882988	920.2231929588687	-5.904524942021659	4.9711320374925215e-9	1.5860278405333284e-8
CDCP1	Day*srf14	Day4 No - Day4 Yes	0	-0.08882535411113393	0.1018260482814902	966.2183265773912	-0.8723244750261068	0.38324810485797867	0.45048461448218546
CDCP1	Day*srf14	Day4 No - Day7 Yes	0	-0.3525784802814819	0.10155510328825279	959.5963271803869	-3.471794807600435	5.400438863486341e-4	0.0015731713211025427
CDCP1	Day*srf14	Day7 No - Day1 Yes	0	-0.4751831452450909	0.10013323460738342	925.6044208184488	-4.745508792442952	2.408251471877325e-6	4.360887800426507e-6
CDCP1	Day*srf14	Day7 No - Day4 Yes	0	0.026043486779047196	0.1020232964375999	971.4117166140767	0.2552699989945538	0.7985686059300263	0.8106681302622994
