Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
Flt3L	7	Yes	0.10788373087935053	0.09213970978823643	1137.8130403268285	-0.07289908860312853	0.2886665503618296	Yes	SRF+
DNER	1	No	-0.08117704313208655	0.0514607776640229	931.6005132370619	-0.18216952362965982	0.01981543736548673	No	SRF-
DNER	4	No	0.09274026459879882	0.0514071083830766	928.6034552803679	-0.008147312778897575	0.1936278419764952	No	SRF-
DNER	7	No	0.44255839024031235	0.05189763677872199	953.1929192771534	0.34071156898164967	0.544405211498975	No	SRF-
DNER	1	Yes	-0.13751594224027353	0.0920891487846628	938.1165431030587	-0.3182405241753622	0.043208639694815115	Yes	SRF+
DNER	4	Yes	-0.28199363905693736	0.09425525469893588	991.6312574721993	-0.46695630047616254	-0.09703097763771215	Yes	SRF+
DNER	7	Yes	-0.14590978623131712	0.09380098079130633	980.2122760722441	-0.32998361954933153	0.03816404708669732	Yes	SRF+
EN-RAGE	1	No	-0.1985614959102976	0.05247453307553538	1077.1771119828543	-0.30152538346031027	-0.09559760836028493	No	SRF-
EN-RAGE	4	No	-0.23976979677363158	0.052402785415955125	1073.512474836621	-0.34259329814600004	-0.13694629540126313	No	SRF-
EN-RAGE	7	No	0.02570233366340554	0.05303896285639364	1101.9430813704525	-0.07836642937113017	0.12977109669794126	No	SRF-
