Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
CCL11	7	Yes	-0.10604805796891047	0.0967644381356919	970.720728739664	-0.2959396371290755	0.08384352119125459
TNFSF14	1	No	-0.22278057423832404	0.053671094632105815	997.5286668624431	-0.3281017769337902	-0.11745937154285786
TNFSF14	4	No	-0.09487944168316308	0.05360691803137542	994.1578313139878	-0.20007514104014593	0.010316257673819773
TNFSF14	7	No	0.20319030514716863	0.05418492287177489	1021.069223908583	0.09686377204164881	0.30951683825268844
TNFSF14	1	Yes	-0.41421129391444833	0.09607507379647758	1004.2510931846614	-0.6027421988332115	-0.22568038899568518
TNFSF14	4	Yes	-0.14471295893561983	0.09858845826841522	1060.4199764420366	-0.3381635868739342	0.04873766900269455
TNFSF14	7	Yes	0.1783301746083501	0.09806019027134831	1048.456954482489	-0.014086392669079295	0.3707467418857795
MMP-1	1	No	-0.18292409261907341	0.054402280629989794	826.1115086562337	-0.28970705078236314	-0.0761411344557837
MMP-1	4	No	0.008884061471369026	0.054360140066302666	823.9019077499097	-0.09781660137220509	0.11558472431494314
MMP-1	7	No	0.23398007162818843	0.054756085130615646	842.9874977325447	0.1265058087161144	0.34145433454026247
MMP-1	1	Yes	-0.28939135728382126	0.09729211400383789	831.6328613888418	-0.48035832445489557	-0.09842439011274698
MMP-1	4	Yes	0.05001244015921237	0.0990891215794606	876.1454676651233	-0.14446733005403356	0.24449221037245827
MMP-1	7	Yes	0.14560333068232814	0.09871386646893174	866.6609374322725	-0.04814286864637746	0.33934953001103374
LIF-R	1	No	0.3177346670679418	0.052367936858050926	974.1586702022832	0.21496771458060288	0.4205016195552807
LIF-R	4	No	-0.14783499121734212	0.05230809305778602	970.9080327878081	-0.2504849336220175	-0.04518504881266669
