Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
IL-10RB	7	Yes	0.16741271454349327	0.09705671842824233	906.7034597984068	-0.023069227817568427	0.35789465690455496
IL-18R1	1	No	0.3211817243655195	0.05533863005190684	843.6526015617802	0.21256417583695175	0.42979927289408726
IL-18R1	4	No	-0.2959287384604318	0.0550380983925113	829.6948717440769	-0.4039590204353817	-0.18789845648548187
IL-18R1	7	No	-0.46811120956834595	0.05565900800886889	858.8717040967036	-0.5773548084326603	-0.35886761070403156
IL-18R1	1	Yes	0.650494031723349	0.09163937102262974	831.5181966271775	0.4706223488638475	0.8303657145828505
IL-18R1	4	Yes	0.13800139307608983	0.09347849223192085	879.9430946112991	-0.045465438263596836	0.3214682244157765
IL-18R1	7	Yes	-0.037686999673508574	0.09320720283803732	872.7500680287923	-0.22062345783932957	0.1452494584923124
PD-L1	1	No	0.2068364389443274	0.05588217277868112	897.8372941276011	0.09716154483720814	0.3165113330514467
PD-L1	4	No	-0.1777217308168817	0.055533284607306305	881.9145468671154	-0.28671454989216677	-0.06872891174159661
PD-L1	7	No	-0.3647750685036908	0.056255120861030065	915.2863065125674	-0.4751790730567549	-0.2543710639506267
PD-L1	1	Yes	0.6752913247835263	0.0924723078223609	883.3024531548723	0.4938002456239042	0.8567824039431484
PD-L1	4	Yes	0.555374142913797	0.09458779993326795	937.2691027009699	0.3697457513928285	0.7410025344347656
PD-L1	7	Yes	0.22835915616196323	0.09427566775589061	929.2856348155614	0.04334126831327009	0.41337704401065634
CXCL5	1	No	0.02320774897073289	0.05894161150121584	899.5943885595586	-0.09247132424523641	0.13888682218670217
CXCL5	4	No	0.028719343167789832	0.05857213891852849	883.6141702971624	-0.0862374023257295	0.14367608866130915
CXCL5	7	No	0.33854752366153756	0.059336598549594874	917.1091037466452	0.22209624320651744	0.4549988041165577
CXCL5	1	Yes	-0.042879604675341694	0.09753273320861311	884.9839401215924	-0.23430204533018492	0.14854283597950155
CXCL5	4	Yes	0.011051566104695558	0.09977239703542848	939.1049502483021	-0.18475109321910807	0.2068542254284992
CXCL5	7	Yes	0.10204992242746064	0.09944194204465584	931.0999216354572	-0.09310638636450635	0.29720623121942763
TRANCE	1	No	-0.1894792535730046	0.052558859161799525	1076.1325055829761	-0.2926087157402307	-0.08634979140577853
TRANCE	4	No	0.1477177782931431	0.05211264738688638	1056.6262981041148	0.0454617343636845	0.24997382222260167
TRANCE	7	No	0.5603149500876207	0.053040221598966555	1097.836561675655	0.4562432892081454	0.664386610967096
TRANCE	1	Yes	-0.541861352990644	0.08677891702874896	1055.0436518007991	-0.7121402480699622	-0.3715824579113257
TRANCE	4	Yes	-0.294164425543299	0.08941512687753708	1116.6423100447853	-0.4696050160692148	-0.11872383501738323
TRANCE	7	Yes	-0.19306907540679488	0.08902624352437252	1107.7465129125314	-0.36774816361125484	-0.01838998720233495
HGF	1	No	-0.10707037992260257	0.0581621721137999	1090.589974317105	-0.22119279608493853	0.00705203623973337
HGF	4	No	-0.1435496864695474	0.05765914324345451	1071.0097492288141	-0.2566873867793167	-0.03041198615977811
HGF	7	No	-0.07100629582035935	0.058705245196878524	1112.4056386266705	-0.18619178854931953	0.04417919690860084
HGF	1	Yes	0.09410339241616236	0.09601370045329768	1069.0994191507893	-0.09429328877385021	0.2825000736061749
HGF	4	Yes	0.3424991403538973	0.09898005254194182	1130.6145062110368	0.148293902122034	0.5367043785857606
HGF	7	Yes	0.48077562003348007	0.09854250478334158	1121.7543891797056	0.2874272421222279	0.6741239979447322
IL-12B	1	No	0.8746611586213826	0.04764043207479041	1039.4400703681583	0.7811787751893629	0.9681435420534024
IL-12B	4	No	0.17752707798026982	0.04725585833543973	1020.2762118793651	0.08479729349235972	0.2702568624681799
IL-12B	7	No	0.1512357734540061	0.04805450294016619	1060.6941286871952	0.05694308253657243	0.24552846437143977
IL-12B	1	Yes	1.0039985433122154	0.07869325717705843	1019.4740832357568	0.8495792637831522	1.1584178228412787
IL-12B	4	Yes	-0.012015662001350154	0.0809764255974407	1080.8164683413384	-0.17090446978184998	0.14687314577914967
IL-12B	7	Yes	-0.25872896606513424	0.08063956543087306	1071.9020866103988	-0.4169582750869542	-0.10049965704331426
MMP-10	1	No	0.38414778737936806	0.05587064181199201	881.2981524778874	0.2744927462493996	0.4938028285093365
MMP-10	4	No	0.01781686933866679	0.05553525722088071	865.9360027283801	-0.09118258531959977	0.12681632399693335
MMP-10	7	No	0.008475374917871755	0.056228855921798694	898.1078818907706	-0.10187987800683991	0.11883062784258343
MMP-10	1	Yes	0.6228520439393045	0.09247343917495163	867.482478371032	0.4413542028421088	0.8043498850365002
MMP-10	4	Yes	0.23680818803448736	0.09451261893823348	919.9182064245068	0.05132281557250343	0.42229356049647127
MMP-10	7	Yes	0.10036718932867492	0.09421176385150576	912.1502023540833	-0.08452981555010253	0.28526419420745236
IL10	1	No	0.5203830250985606	0.05382619491143581	1070.073872043245	0.4147661603346319	0.6259998898624893
IL10	4	No	-0.2794295830070013	0.053372857990200355	1050.6090374279115	-0.3841591147297283	-0.17470005128427432
IL10	7	No	-0.4081347718684956	0.05431508706859723	1091.7199832056833	-0.5147085399522686	-0.30156100378472267
IL10	1	Yes	0.8854447907073025	0.08887790010961237	1049.160447212374	0.7110461163224906	1.0598434650921145
IL10	4	Yes	0.15772608633683685	0.09155832368702298	1110.7631785915191	-0.021920682490848692	0.3373728551645224
IL10	7	Yes	-0.10826311900979889	0.0911629053869085	1101.857165223073	-0.2871356138838104	0.07060937586421266
