Assay	term	TP1	TR1	TP2	TR2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
CDCP1	Day*Allocation	Day4	Anakinra	Day7	Placebo	0	-0.21131329494286843	0.09996841070118308	993.4351865464837	-2.113800684243224	0.03478103037145126	0.08630848277360129
CDCP1	Day*Allocation	Day7	Anakinra	Day1	Placebo	0	-0.22373657977196254	0.09841284531613878	954.2302778119247	-2.2734489492020797	0.02322063405773807	0.03241213503892606
CDCP1	Day*Allocation	Day7	Anakinra	Day4	Placebo	0	0.16730867211766068	0.09953255001177032	982.0790207366555	1.6809442950861344	0.09309170940502196	0.16488012761864762
CDCP1	Day*Allocation	Day7	Anakinra	Day7	Placebo	0	-0.016599137066919296	0.0997812624911015	988.8063433600823	-0.16635525200334692	0.8679113960428221	0.9379042505624045
CDCP1	Day*Allocation	Day1	Placebo	Day4	Placebo	0	0.3910452518896232	0.06723824994861399	1040.8701592346063	5.815815435239238	8.021764271683318e-9	4.134293893867556e-8
CDCP1	Day*Allocation	Day1	Placebo	Day7	Placebo	0	0.20713744270504325	0.06761544188307166	1042.4533473354486	3.063463565959518	0.0022440868655423936	0.003341195999807564
CDCP1	Day*Allocation	Day4	Placebo	Day7	Placebo	0	-0.18390780918457997	0.06856777521502991	1036.0300159432074	-2.6821317828650764	0.007431842595441939	0.024896672694730497
CD244	Day*Allocation	Day1	Anakinra	Day4	Anakinra	0	0.23170889714459847	0.05830756665778519	1053.821755797726	3.9739078549535187	7.551611815357403e-5	1.5811187238404562e-4
CD244	Day*Allocation	Day1	Anakinra	Day7	Anakinra	0	0.008292467318036317	0.05808066720727244	1056.5732105474572	0.14277500099031223	0.8864951029710504	0.8864951029710504
CD244	Day*Allocation	Day1	Anakinra	Day1	Placebo	0	0.05776932812981647	0.09504297498000137	1070.6471003641996	0.6078232309328712	0.5434336227000469	0.9706901703326503
CD244	Day*Allocation	Day1	Anakinra	Day4	Placebo	0	0.23111120753673128	0.0963734904088515	1101.844465942191	2.3980786267704244	0.016646887365861323	0.033798225864021474
CD244	Day*Allocation	Day1	Anakinra	Day7	Placebo	0	0.18419713777916935	0.0966724602509229	1109.5535374983997	1.9053734362513122	0.05698983048926491	0.07792487026083161
CD244	Day*Allocation	Day4	Anakinra	Day7	Anakinra	0	-0.22341642982656215	0.05848569406168406	1037.627226727001	-3.82001844059383	1.4136186597296204e-4	3.788498008075383e-4
CD244	Day*Allocation	Day4	Anakinra	Day1	Placebo	0	-0.173939569014782	0.09580370386528769	1087.6289813056178	-1.8155829263069345	0.06970965075350058	0.1229091210653826
CD244	Day*Allocation	Day4	Anakinra	Day4	Placebo	0	-5.976896078671798e-4	0.09712408457188043	1118.0855560278485	-0.006153876358287181	0.9950910458306113	0.9997000312783215
CD244	Day*Allocation	Day4	Anakinra	Day7	Placebo	0	-0.04751175936542912	0.09742013277551961	1125.5659380096165	-0.4876995956770877	0.6258576159979308	0.7356571977519538
CD244	Day*Allocation	Day7	Anakinra	Day1	Placebo	0	0.049476860811780154	0.0955779784867474	1082.2605485073232	0.5176596282441828	0.6048015618731563	0.6331516350859605
CD244	Day*Allocation	Day7	Anakinra	Day4	Placebo	0	0.22281874021869497	0.09689977778975233	1112.8420310255615	2.2994762764281513	0.02166238376047059	0.06047415466464706
CD244	Day*Allocation	Day7	Anakinra	Day7	Placebo	0	0.17590467046113303	0.09719944188425879	1120.5798694000432	1.8097292232458833	0.07060561693999734	0.44683134289963033
CD244	Day*Allocation	Day1	Placebo	Day4	Placebo	0	0.1733418794069148	0.07347402641259716	1050.319093251396	2.359226625658224	0.018495332074258932	0.03022407924330118
CD244	Day*Allocation	Day1	Placebo	Day7	Placebo	0	0.12642780964935288	0.07387522855170434	1052.4519938769213	1.7113694553360015	0.08730757216963934	0.10635649700665158
CD244	Day*Allocation	Day4	Placebo	Day7	Placebo	0	-0.04691406975756194	0.07495720065848076	1045.3313546287134	-0.6258780923704895	0.531531531287573	0.6075524927291837
IL7	Day*Allocation	Day1	Anakinra	Day4	Anakinra	0	-0.03284680322370191	0.06820342713365125	1063.3518955394313	-0.48160047968462644	0.6301888804420988	0.7767429954543834
