Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
CXCL9	srf14	15.105809310842105	15.105809310842105	1	589.6920674867281	35.103148209900716	5.3184437735730726e-9	3.0721172431046474e-8
CXCL9	DEXcorrected	1.8107651018666575	1.8107651018666575	1	577.0595883733598	4.2078881333765334	0.040687294862772734	0.07572357655016036
CXCL9	cbmi	0.11684575443899874	0.11684575443899874	1	574.71110747383	0.2715282413121619	0.6025091691814262	0.7616625346255764
CXCL9	Age	15.897711276680806	15.897711276680806	1	576.7001735555123	36.9433840756213	2.2119431081129356e-9	2.964003764871334e-8
CXCL9	Gender	1.666090813202265	1.666090813202265	1	579.5951294215758	3.87169144952835	0.049583391137167865	0.10066930927849232
CXCL9	Day:srf14	0.5593674501833089	0.27968372509165446	2	1059.1173477454838	0.6499340122573123	0.522288322202527	0.6362421379558056
CST5	Day	15.538291334286328	7.769145667143164	2	1032.7037393205412	27.641850614361097	2.021131023546005e-12	3.869022245073781e-12
CST5	srf14	4.256737105273474	4.256737105273474	1	579.4825349841853	15.14504891653604	1.111228857397018e-4	2.863551286369239e-4
CST5	DEXcorrected	0.30402507841510024	0.30402507841510024	1	570.6589125834587	1.0816911100161974	0.2987599943280209	0.36394399309049824
CST5	cbmi	0.23904899502519447	0.23904899502519447	1	569.1845638667307	0.8505126423288379	0.35679809874776536	0.5312327248022284
CST5	Age	6.077086063374592	6.077086063374592	1	570.7274556817673	21.621670172157526	4.1297935547269634e-6	1.976401201190761e-5
CST5	Gender	3.1777560093243373	3.1777560093243373	1	572.7634127515629	11.306141069038727	8.240593816264114e-4	0.005521197856896956
CST5	Day:srf14	1.5590349031210438	0.7795174515605219	2	1032.7099287214378	2.773445867857783	0.06291164070536955	0.1453475836986124
OSM	Day	16.69547283863059	8.347736419315295	2	1053.0885475440593	17.389617375980617	3.7137709116122865e-8	5.5293922461782934e-8
OSM	srf14	2.4043398087304277	2.4043398087304277	1	580.8822664219518	5.008609186427807	0.025599754169119245	0.04513640866660498
OSM	DEXcorrected	4.525991558246825	4.525991558246825	1	567.9112984082245	9.428335717778474	0.0022387423337639784	0.00624982234842444
OSM	cbmi	0.05704537750783602	0.05704537750783602	1	565.4604375466042	0.11883428490079295	0.7304304318346009	0.8897970715076048
OSM	Age	0.9465515002672144	0.9465515002672144	1	567.4655329369627	1.9718121882982718	0.16080270322671325	0.22922938545084653
OSM	Gender	3.6508012798837517	3.6508012798837517	1	570.4344421884517	7.605179917519013	0.0060066146460088995	0.020122159064129813
OSM	Day:srf14	2.58950782435947	1.294753912179735	2	1053.0924037578447	2.697171304638098	0.0678614717132845	0.15155728682633537
CXCL1	Day	8.999027504151044	4.499513752075522	2	1054.4679081503812	9.259564348125899	1.0316372291098154e-4	1.3292248913530314e-4
