Assay	emm_day_srf	Day	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
CD5		1	Yes	-0.16711004915143068	0.09214998244952544	1021.6064945488829	-0.347934926722407	0.013714828419545605	Yes	SRF+
CD5		4	Yes	-0.07677860205023859	0.09483134181935056	1082.9833090348864	-0.26285257275616086	0.10929536865568368	Yes	SRF+
CD5		7	Yes	0.011694526931730995	0.09443573551218337	1074.0670996433719	-0.17360492315391907	0.19699397701738103	Yes	SRF+
Flt3L		1	No	0.1280231215612046	0.0549810792478052	1105.2461908243736	0.020144049327358582	0.23590219379505062	No	SRF-
Flt3L		4	No	0.2074450391640787	0.054496866906217696	1085.6269569119916	0.10051392763295659	0.3143761506952008	No	SRF-
Flt3L		7	No	0.5345979242437595	0.05550424970646422	1127.1361328756607	0.42569465122436506	0.643501197263154	No	SRF-
Flt3L		1	Yes	0.09783702613217721	0.09074639024148172	1083.3737402392494	-0.08022155689662994	0.2758956091609843	Yes	SRF+
Flt3L		4	Yes	-0.05758934145029115	0.09359648881489141	1144.6981477464583	-0.24122925964051026	0.12605057673992795	Yes	SRF+
Flt3L		7	Yes	0.08630581122834981	0.09317612946850021	1135.890335753332	-0.09651084615516155	0.2691224686118612	Yes	SRF+
CXCL10		1	No	0.6445389434743609	0.049790589206799574	1018.8984577007527	0.5468351204101785	0.7422427665385434	No	SRF-
CXCL10		4	No	-0.2500233534382048	0.04940074810458742	1000.0203163922091	-0.34696436967935496	-0.15308233719705466	No	SRF-
CXCL10		7	No	-0.6097324882956845	0.050209885337005204	1039.7990691228495	-0.7082567388026535	-0.5112082377887155	No	SRF-
CXCL10		1	Yes	1.1269783646274567	0.08226564502234585	999.6205589704217	0.9655452001357041	1.2884115291192093	Yes	SRF+
CXCL10		4	Yes	0.35763839269465747	0.08458664484249696	1060.5245101402556	0.19166219219024466	0.5236145931990703	Yes	SRF+
CXCL10		7	Yes	-9.277763971220453e-4	0.08424418096720027	1051.6454626405432	-0.16623358775520922	0.16437803496096512	Yes	SRF+
DNER		1	No	-0.07199514680123999	0.05624354940496979	949.9301098311664	-0.18237111174212728	0.038380818139647305	No	SRF-
DNER		4	No	0.09255288188879511	0.055852038395476526	932.4797830181429	-0.01705737344502939	0.2021631372226196	No	SRF-
DNER		7	No	0.45997761835535483	0.05666316233991868	969.1389849816604	0.348780989641746	0.5711742470689637	No	SRF-
DNER		1	Yes	-0.14509656966097084	0.09300764309533455	933.22838687717	-0.3276249280247839	0.037431788702842195	Yes	SRF+
DNER		4	Yes	-0.2726341944376813	0.09536214660496667	991.0976291086437	-0.45976909844343783	-0.0854992904319247	Yes	SRF+
DNER		7	Yes	-0.17005052264683812	0.09501471538631467	982.5828711583466	-0.3565056169292046	0.016404571635528387	Yes	SRF+
EN-RAGE		1	No	-0.169728948919926	0.05737927943440834	1104.0932744693562	-0.28231368900723774	-0.05714420883261424	No	SRF-
EN-RAGE		4	No	-0.18809990946089258	0.05687465414367343	1084.4757807938347	-0.29969673210462505	-0.07650308681716012	No	SRF-
EN-RAGE		7	No	0.04192115122298988	0.05792447127104557	1125.9788061491888	-0.0717308936651591	0.15557319611113885	No	SRF-
EN-RAGE		1	Yes	0.026152121730209834	0.09470593520982876	1082.2499119427252	-0.15967592242476217	0.21198016588518184	Yes	SRF+
EN-RAGE		4	Yes	0.46696466952611165	0.09767661539044079	1143.5931768744663	0.27531918975405073	0.6586101492981726	Yes	SRF+
EN-RAGE		7	Yes	0.49562584802524035	0.0972384680257573	1134.7806653243438	0.3048384614140155	0.6864132346364652	Yes	SRF+
MCP-2		1	No	0.5992450761667577	0.05326379045655771	856.0426689392317	0.4947021548468811	0.7037879974866342	No	SRF-
MCP-2		4	No	-0.1646362608487249	0.0529642857327872	841.6034660419284	-0.26859385780945283	-0.06067866388799699	No	SRF-
MCP-2		7	No	-0.4225085452556374	0.05358327420411381	871.8055000591648	-0.5276758375892001	-0.3173412529220747	No	SRF-
MCP-2		1	Yes	0.9921902543489116	0.08818862218832885	843.3488207409628	0.8190953132880661	1.1652851954097572	Yes	SRF+
MCP-2		4	Yes	0.22053203168321395	0.0900174927709109	893.1745642772055	0.043861582647038516	0.39720248071938935	Yes	SRF+
MCP-2		7	Yes	-0.21971647420708412	0.0897476971117077	885.779317846864	-0.3958594113838173	-0.04357353703035094	Yes	SRF+
CCL25		1	No	0.2281767867430791	0.058519606282158916	903.484918201141	0.11332660915270822	0.34302696433345	No	SRF-
CCL25		4	No	0.1035325520763806	0.058149532417278306	887.3788910413463	-0.0105940996704222	0.21765920382318338	No	SRF-
CCL25		7	No	0.1002713095690686	0.058915313809932666	921.1435778605343	-0.015352507623782485	0.2158951267619197	No	SRF-
CCL25		1	Yes	0.0644142354217386	0.09682948740575274	888.707631181855	-0.12562689066501628	0.25445536150849346	Yes	SRF+
CCL25		4	Yes	-0.30237348727864855	0.0990713775790503	943.1647674162896	-0.4967993206461475	-0.1079476539111496	Yes	SRF+
CCL25		7	Yes	-0.3817270886149183	0.09874059031412513	935.1129071197873	-0.5755059017056006	-0.18794827552423599	Yes	SRF+
CX3CL1		1	No	0.07266598513389368	0.059118500895628666	872.5965796468205	-0.043365088413872	0.18869705868165937	No	SRF-
CX3CL1		4	No	-0.09191283499465382	0.05877125130791949	857.5434192472101	-0.20726517895728988	0.023439508967982248	No	SRF-
CX3CL1		7	No	-0.10795158333127862	0.05948922466869077	889.055099340031	-0.22470726926286322	0.008804102600305966	No	SRF-
CX3CL1		1	Yes	0.3189906829132983	0.09786043740118197	859.1643903513972	0.1269171693664901	0.5110641964601065	Yes	SRF+
CX3CL1		4	Yes	0.34710950717450817	0.09997485054828974	910.7380423573148	0.15090164781846813	0.5433173665305482	Yes	SRF+
CX3CL1		7	Yes	0.321059800162206	0.0996629069597198	903.0924950471978	0.1254619490738339	0.516657651250578	Yes	SRF+
TNFRSF9		1	No	0.12342938646888425	0.054383787383898305	935.5713017980129	0.016701048655104522	0.23015772428266398	No	SRF-
TNFRSF9		4	No	0.20020000436773933	0.05401567142773295	918.504953642288	0.09419154375088437	0.3062084649845943	No	SRF-
TNFRSF9		7	No	0.5774561978141795	0.054778039542330244	954.3347391826152	0.46995687680158044	0.6849555188267784	No	SRF-
TNFRSF9		1	Yes	-0.18673170318120863	0.08994873744550703	919.4503664355663	-0.3632603661141444	-0.010203040248272843	Yes	SRF+
TNFRSF9		4	Yes	-0.14071640704919222	0.0921674412720342	976.3828983669159	-0.3215854804840341	0.040152666385649655	Yes	SRF+
TNFRSF9		7	Yes	0.21405549972076338	0.09184005327738892	967.9923561811568	0.033826952463872906	0.39428404697765385	Yes	SRF+
TWEAK		1	No	-0.04791372262417233	0.05786612930628478	1036.5142402816803	-0.16146184241544825	0.06563439716710359	No	SRF-
TWEAK		4	No	0.06444331533941419	0.057400986671911215	1017.3870203658475	-0.0481945514463354	0.17708118212516377	No	SRF-
TWEAK		7	No	0.406031285625585	0.058366872636079085	1057.7223345186364	0.2915032641311196	0.5205593071200504	No	SRF-
TWEAK		1	Yes	-0.3464423887241172	0.09558765242060986	1016.6437784455995	-0.5340140535872848	-0.15887072386094958	Yes	SRF+
TWEAK		4	Yes	-0.23663685176027677	0.09835025006144468	1077.9366840111445	-0.4296164833575876	-0.04365722016296594	Yes	SRF+
TWEAK		7	Yes	-0.04897511956536604	0.09794265034717968	1069.0253145818433	-0.24115677317247572	0.14320653404174363	Yes	SRF+
CCL20		1	No	0.2367344727430047	0.05618132095605551	997.4661822540234	0.12648733165242676	0.3469816138335826	No	SRF-
CCL20		4	No	-0.13348874099833027	0.05575609550247397	978.9558206750338	-0.24290395636419346	-0.02407352563246709	No	SRF-
CCL20		7	No	-0.13508454643068285	0.056638171799108565	1017.9228533864455	-0.24622547309753742	-0.023943619763828278	No	SRF-
CCL20		1	Yes	0.6735469188908775	0.09284923213539303	978.9474380797211	0.49134049380357536	0.8557533439781796	Yes	SRF+
CCL20		4	Yes	0.33212913261943355	0.0953885862595984	1039.1669625198267	0.14495293082183133	0.5193053344170357	Yes	SRF+
CCL20		7	Yes	0.40496175503707943	0.09501388711755432	1030.360297423715	0.21851894825010296	0.5914045618240559	Yes	SRF+
TNFB		1	No	0.27410425502595925	0.054225200300514705	983.4491023516223	0.1676938552219427	0.3805146548299758	No	SRF-
TNFB		4	No	0.3274126151174383	0.053824264058838174	965.2168513178918	0.2217865457336497	0.4330386845012269	No	SRF-
TNFB		7	No	0.39380443531248976	0.054655647182742746	1003.5749224597424	0.2865519858227401	0.5010568848022394	No	SRF-
TNFB		1	Yes	-0.007093462340972686	0.08963207080331634	965.4480041235498	-0.18298960600991143	0.16880268132796605	Yes	SRF+
TNFB		4	Yes	-0.1599423581513783	0.09203123426654054	1025.0940394784982	-0.3405334887381566	0.020648772435400004	Yes	SRF+
TNFB		7	Yes	-0.2324525359302335	0.09167721486618503	1016.3545205786569	-0.4123508096122569	-0.05255426224821011	Yes	SRF+
